Name,Point40Before,Point40After,Point40Change,Rebound40Before,Rebound40After,Rebound40Change,Assist40Before,Assist40After,Assist40Change,USGBefore,USGAfter,USGChange,ContractYear,ContractTotal,AveragePay,ContractLength,LargeContract,SeaonsLength,PerformanceBefore,PerformanceAfter,changePerformance,ChangeTeam
Aaron Gordon,21.4,18.9,2.5,9.6,8.7,0.9,2.8,4.4,-1.6,23.2,22,1.2,2018,"80,000,000.00","20,000,000.00",4,1,7,16.5,15.1,-1.4,1
Al Horford,18.8,15.8,3,9.3,9,0.3,5.7,5.3,0.4,19.6,18.3,1.3,2019,"109,000,000.00","27,250,000.00",4,1,14,20.2,15.7,-4.5,1
Alex Caruso,12.2,10.6,1.6,5.6,5.2,0.4,5.3,5.8,-0.5,15.5,14,1.5,2021,"36,980,000.00","9,245,000.00",4,1,4,11.1,11.7,0.6,0
Andre Drummond,9.6,10.55,-0.95,8.25,9.25,-1,1.15,1.25,-0.1,10.75,10.3,0.45,2021,"2,401,537.00","2,401,537.00",1,0,9,19.2,19.4,0.2,1
Andre Iguodala,8.2,8.2,0,6.6,6.6,0,4.2,7.6,-3.4,11.6,13,-1.4,2021,"2,641,691.00","2,641,691.00",1,0,17,9.2,12.3,3.1,0
Andrew Wiggins,19.5,20.8,-1.3,4.8,5.5,-0.7,2.1,2.9,-0.8,22.2,24.1,-1.9,2018,"147,710,050.00","29,542,010.00",5,1,7,13,12.4,-0.6,1
Anthony Davis,30.4,27.1,3.3,10.8,9.8,1,3.8,3.8,0,28.9,28.3,0.6,2020,"189,903,600.00","37,980,720.00",5,1,9,27.4,22.1,-5.3,1
Avery Bradley,4.5,11.2,-6.7,2,3.9,-1.9,1.65,1.3,0.35,6.85,11.5,-4.65,2021,"2,641,691.00","2,641,691.00",1,0,12,7.2,7.9,0.7,1
Bam Adebayo,22.3,23.4,-1.1,10.7,12.4,-1.7,6.5,4.2,2.3,23.8,24.5,-0.7,2021,"163,000,300.00","32,600,060.00",5,1,4,22.7,21.8,-0.9,1
Ben Simmons,18.6,17.7,0.9,8.8,8.9,-0.1,9,8.5,0.5,22.7,21.6,1.1,2020,"177,243,360.00","35,448,672.00",5,1,5,20.4,18.3,-2.1,1
Bismack Biyombo,9.8,16.6,-6.8,10.3,13.2,-2.9,2.4,1.8,0.6,11.5,16.3,-4.8,2021,"1,366,392.00","1,366,392.00",1,0,9,16.2,11.8,-4.4,0
Blake Griffin,9.3,15,-5.7,4.3,9.5,-5.2,2.25,4.4,-2.15,9.4,17,-7.6,2021,"2,641,691.00","2,641,691.00",1,0,11,13,13.7,0.7,0
