aaron-gordon,2018,2017-18,21.4,9.6,2.8,53.0,11.3,8.9,23.2,13.2,2018-19,18.9,8.7,4.4,53.8,18.0,10.1,22.0,11.7
al-horford,2019,2018-19,18.8,9.3,5.7,60.5,24.6,8.9,19.6,12.4,2019-20,15.8,9.0,5.3,53.6,24.7,7.3,18.3,12.4
alex-caruso,2021,2020-21,12.2,5.6,5.3,54.7,27.9,13.2,15.5,0.1,2021-22,10.6,5.2,5.8,52.8,32.3,11.2,14.0,0.1
andre-drummond,2021,2020-21,9.6,8.25,1.15,27.7,5.05,7.2,10.75,12.45,2021-22,10.55,9.25,1.25,30.5,5.65,6.0,10.3,13.1
andre-iguodala,2021,2020-21,8.2,6.6,4.2,51.9,30.0,14.1,11.6,0.2,2021-22,8.2,6.6,7.6,47.8,41.9,10.3,13.0,0.2
andrew-wiggins,2018,2017-18,19.5,4.8,2.1,50.5,9.2,7.9,22.2,6.9,2018-19,20.8,5.5,2.9,49.3,11.1,8.3,24.1,7.4
anthony-davis,2020,2019-20,30.4,10.8,3.8,61.0,11.9,9.2,28.9,14.8,2020-21,27.1,9.8,3.8,55.6,12.3,8.3,28.3,0.2
avery-bradley,2021,2020-21,4.5,2.0,1.65,20.45,10.1,6.0,6.85,2.6,2021-22,11.2,3.9,1.3,55.0,10.6,8.6,11.5,0.1
bam-adebayo,2021,2020-21,22.3,10.7,6.5,62.6,23.5,11.5,23.8,0.3,2021-22,23.4,12.4,4.2,60.8,15.6,12.2,24.5,0.3
ben-simmons,2020,2019-20,18.6,8.8,9.0,60.2,31.7,14.0,22.7,12.2,2020-21,17.7,8.9,8.5,58.4,31.2,13.5,21.6,0.2
bismack-biyombo,2021,2020-21,9.8,10.3,2.4,57.4,18.4,16.1,11.5,0.2,2021-22,16.6,13.2,1.8,59.6,10.3,11.1,16.3,0.3
blake-griffin,2021,2020-21,9.3,4.3,2.25,30.5,10.3,4.9,9.4,5.25,2021-22,15.0,9.5,4.4,51.8,21.8,6.4,17.0,0.2
boban-marjanovic,2021,2020-21,23.0,18.9,1.5,56.2,6.2,7.5,23.2,0.4,2021-22,30.6,12.2,0.9,61.5,3.1,15.4,30.8,0.3
bobby-portis,2021,2020-21,22.0,13.6,2.1,59.8,9.4,7.4,20.1,0.3,2021-22,20.7,13.0,1.7,57.1,7.8,8.2,20.2,0.3
bradley-beal,2021,2020-21,35.0,5.3,4.9,59.3,13.0,9.2,33.0,0.1,2021-22,25.8,5.3,7.4,53.9,21.0,10.7,30.5,0.1
brandon-ingram,2020,2019-20,28.1,7.2,4.9,58.7,15.2,11.1,28.2,9.6,2020-21,27.7,5.7,5.7,58.4,17.5,9.1,28.3,0.1
brook-lopez,2019,2018-19,17.4,6.8,1.7,59.7,9.6,8.0,16.0,8.7,2019-20,17.9,6.9,2.2,55.1,10.9,7.7,17.7,8.5
carmelo-anthony,2021,2020-21,21.9,5.1,2.5,54.7,10.3,6.0,22.4,0.1,2021-22,20.5,6.4,1.5,57.9,7.4,6.4,19.2,0.1
chris-paul,2021,2020-21,20.9,5.7,11.3,59.9,35.8,9.0,24.6,0.1,2021-22,17.9,5.3,13.1,58.1,41.8,9.1,22.3,0.1
clint-capela,2018,2017-18,20.2,15.8,1.3,65.0,7.1,10.7,18.0,22.2,2018-19,19.8,15.1,1.7,65.8,9.3,9.1,17.6,20.8
damian-lillard,2021,2020-21,32.2,4.7,8.4,62.3,22.4,9.0,32.2,0.1,2021-22,26.3,4.5,8.0,55.0,22.9,9.0,29.7,0.1
daniel-theis,2021,2020-21,8.0,4.75,1.45,29.2,7.8,4.75,8.25,6.2,2021-22,8.45,5.05,1.05,32.9,6.5,4.65,7.65,6.4
danilo-gallinari,2020,2019-20,25.3,7.0,2.6,61.2,10.4,6.6,23.6,9.7,2020-21,22.1,6.9,2.5,61.3,11.3,6.4,20.6,0.2
danny-green,2021,2020-21,13.5,5.4,2.4,58.2,15.8,9.0,13.8,0.1,2021-22,10.8,4.6,1.9,56.1,14.7,10.3,11.9,0.1
davis-bertans,2020,2019-20,21.1,6.2,2.3,62.8,11.3,7.2,18.6,8.5,2020-21,17.9,4.6,1.3,62.0,8.0,5.4,15.1,0.1
demar-derozan,2021,2020-21,25.6,5.0,8.2,59.1,25.5,7.2,26.8,0.1,2021-22,30.9,5.7,5.5,59.0,15.9,7.7,30.7,0.1
demarcus-cousins,2021,2020-21,12.1,6.95,1.55,29.85,5.5,8.6,13.35,10.0,2021-22,12.8,8.0,2.45,28.25,7.25,9.4,15.45,10.3
derrick-favors,2020,2019-20,14.8,16.1,2.6,62.0,16.0,10.9,14.1,21.4,2020-21,14.2,14.5,1.7,66.3,12.3,10.1,12.7,0.3
derrick-rose,2021,2020-21,11.1,2.15,3.1,28.25,11.15,3.75,12.3,2.8,2021-22,19.6,4.9,6.5,54.1,24.0,9.1,23.2,0.1
devin-booker,2019,2018-19,30.3,4.7,7.7,58.4,20.1,12.3,33.1,6.5,2019-20,29.7,4.7,7.3,61.8,20.5,11.9,30.3,6.6
dewayne-dedmon,2021,2020-21,21.5,16.4,2.3,73.5,11.8,12.8,18.4,0.4,2021-22,15.8,14.5,1.8,63.2,10.4,15.5,16.1,0.3
domantas-sabonis,2020,2019-20,21.3,14.3,5.7,58.6,21.3,11.7,23.5,19.6,2020-21,22.6,13.3,7.4,60.1,24.8,12.7,24.5,0.3
